INGREDIENTE,PORCENTAJE GRASO,SOLIDOS TOTALES,POD,PAC,PROTEINA
Leche,3.6,12,0.8,5,3.4
Crema Nata 35 Grasa,35,40.8,7.52,4.7,1.1
Agua,0,0,0,0,0
Sacarosa,0,100,100,100,0
Dextrosa,0,100,80,173,0
Lactosa,0,100,16,100,0
Maltodextrina 12DE,0,100,15,23,0
Maltodextrina 18DE,0,100,5,34,0
Glucosa 33DE,0,100,24,56,0
Glucosa 38DE,0,100,29,68,0
Glucosa 40DE,0,40,45,108,0
Glucosa 60DE,0,40,57,114,0
Azucar Invertida,0,72,120,190,0
Fructosa,0,100,144,188,0
Trehalosa,0,100,45,100,0
Base 50 Generica,13,100,21.5,55,9.8
Pasta Avellana,60,100,0,-91,15
Pasta Mani,50,100,0,-70,26
Pasta Pistacho,50,100,0,-70,20
Mascarpone,40,49,0.7,4.4,4
Yema de Huevo,30,50,0,0,15.8
Base Amarilla,7.43,36.39,16.42,28.03,4.75
Almibar Sorbete,0,44.4,30.73,40.42,0
Chocolate Callebaut 54,36.6,100,43,-21.26,5.1
Chocolate Blanco,40,100,40,13,5
Chocolate Callebaut 70,39,100,26,-64.9,8.8
Cacao,22,100,0,-160.2,4
Marsala,0,4.5,0,97,0
Ron,0,0,0,232,0
Vodka,0,0,0,232,0
Whiskey,0,40,0,232,0
Cerveza Negra Guinness,0,7.8,3.6,24.3,0
Crema de Coco,18.2,20.34,3.6,5,0.9
Platano,0,20,28.8,37.6,0
Limon,0,5,7.2,9.4,0
Mango,0,10,14.4,18.8,0
Frambuesa,0,8,11.52,15.04,0
Frutilla,0,8,11.52,15.04,0
Sandia,0,6,8.64,11.28,0
Melon,0,8,11.52,15.04,0
Manzana,0,12,17.28,22.56,0
Pina,0,13,18.72,24.44,0
Durazno,0,11,15.84,20.68,0
Damasco,0,12,17.28,22.56,0
Mora,0,12,17.28,22.56,0
Uva,0,16,23.04,30.08,0
Inulina,0,96,0,5,0
Cafe en Grano,0,100,0,0,0
Coco Rallado,64,100,2.8,4.24,6.9
Leche Condensada,4.1,70.6,0,0,7.5
Sorbitol,0,100,50,280,0
Maltitol,0,100,90,175,0
Xilitol,0,100,100,190,0
Eritritol,0,100,60,90,0
Manitol,0,100,50,130,0
Isomalt,0,100,55,130,0
Polidextrosa,0,100,10,100,0
Oligofructosa,0,100,35,180,0
Glicerina,0,70,70,342,0
Leche de Almendra,2.1,8.1,10,10,5.2
Crema Vegetal,23.6,43,15,15,0
Aceite Girasol,100,100,0,0,0
Base X 3000 Turbo,10,100,23.24,41.69,6.6
Queso Azul,28.74,52.43,0,0,21.4
Sal,0,100,0,100,0
Pasta Vainilla Concentrada,0.38,75.4,47.13,79.38,0.15
Aceite de Oliva,100,100,0,0,0
Mozzarella,16,34,0,0,17
Chocolate Blanco 35,41,100,52.31,27.61,5.7
Cacao 22 24,23,100,0,-158.67,21
Cajeta,3.5,60,54,66.4,3.4
